S.No,Headline
1,NewsNews
2,Former French president Sarkozy given five-year sentence after Libya case
3,Denmark says 'professional actor' behind drone incursions over its airports
4,The sun sets on India's iconic and controversial Soviet fighter jet
5,Kindergarten parents told to pay thousands for kids' art - sparking uproar and a midnight heist
6,Palestinians in West Bank stranded as Israel shuts only international crossing
7,Australian film altered in China to make gay couple straight
8,India imposes curfew in Ladakh after statehood protests turn violent
9,"Over 1,000 children fall ill from free school lunches in Indonesia"
10,Woman in Spanish cold case identified after 20 years
11,India legal setback for Elon Musk's X in free speech fight
12,What we know about the suspect in the ICE facility shooting in Dallas
13,'Film me all you want' - teenage girls with no fear of police tormenting a UK high street
14,Trump demands inquiry over UN 'triple sabotage' after escalator and teleprompter mishaps
15,More to explore
16,Sonic the Hedgehog boss on how the series keeps up to speed
17,Matthew McConaughey on starring with his family in film about California's deadliest wildfire
18,"'There's no way we can afford $100,000': Small firms scramble over Trump's new visa fees"
19,From Bayern despair to Liverpool brilliance - the rise of Ryan Gravenberch
20,The professor who beat fraud allegations to become Malawi's president…again
21,Two photos that shaped the long run to sporting equality
22,Most watched
23,Moment sinkhole pulls down power lines in busy Bangkok street
24,Watch: White House replaces President Biden portrait with image of an autopen
25,Watch: Moment water shatters glass doors of Hong Kong hotel
26,Syrian leader addresses UN General Assembly for first time in almost 60 years
27,Watch: Typhoon Ragasa leaves trail of destruction in China
28,Also in news
29,Pokémon did not give permission for ICE deportation video
30,Starbucks to close some US and UK stores
31,'Anti-ICE' message on ammunition at Dallas shooting that killed immigration detainee
32,Fugitive Nicholas Rossi found guilty of second rape in US
33,French navy seizes nearly 10 tonnes of cocaine off West African coast
34,Colombia's president calls US attacks on alleged drug boats 'act of tyranny'
35,Rihanna gives birth to first daughter with A$AP Rocky
36,Most read
37,'Film me all you want' - teenage girls with no fear of police torment one High Street
38,"'There's no way we can afford $100,000': Small firms scramble over H-1B visa fees"
39,Sport
40,"Liverpool shut down 145,000 ticket accounts in touting crackdown"
41,'Every idea is a good idea' - how would 64-team World Cup look?
42,'Trust what we've built' - England unchanged for World Cup final
43,Saliba agrees new five-year contract with Arsenal
44,AFL defends Snoop Dogg as grand final headliner
45,US will fight any attempt to ban Israel from World Cup
46,Sponsor 'expects' team to drop 'Israel' from name
